year,resolution,modularity,cafFob,nb_communities
1853,3.600000000000001,0.5221067606049563,fob,17
1853,3.800000000000001,0.5163660229603957,fob,18
1854,0.2,0.14466605162940332,caf,2
1854,0.4,0.5391263253226526,caf,4
1854,0.6000000000000001,0.5903879562927011,caf,6
1854,0.8,0.5932272764497183,caf,7
1854,1,0.5956358782340625,caf,8
1854,1.2,0.5938575888899222,caf,9
1854,1.4,0.5903630617151164,caf,10
1854,1.5999999999999999,0.5821868554155657,caf,11
1854,1.7999999999999998,0.5789106920556296,caf,12
1854,1.9999999999999998,0.5789106920556296,caf,12
1854,2.1999999999999997,0.5789106920556296,caf,12
1854,2.4,0.5789106920556296,caf,12
1854,2.6,0.570277459147625,caf,14
1854,2.8000000000000003,0.570277459147625,caf,14
1854,3.0000000000000004,0.570277459147625,caf,14
1854,3.2000000000000006,0.570277459147625,caf,14
1854,3.400000000000001,0.5675877017621074,caf,14
1854,3.600000000000001,0.5621442205546991,caf,15
1854,3.800000000000001,0.5556446629280635,caf,16
1854,0.2,0.14466605162940332,fob,2
1854,0.4,0.5391263253226526,fob,4
1854,0.6000000000000001,0.5903879562927011,fob,6
1854,0.8,0.5932272764497183,fob,7
1854,1,0.5962244131994595,fob,8
1854,1.2,0.5938575888899222,fob,9
1854,1.4,0.5903630617151164,fob,10
1854,1.5999999999999999,0.5821868554155657,fob,11
1854,1.7999999999999998,0.5789106920556296,fob,12
1854,1.9999999999999998,0.5789106920556296,fob,12
1854,2.1999999999999997,0.5789106920556296,fob,12
1854,2.4,0.5789106920556296,fob,12
1854,2.6,0.570277459147625,fob,14
1854,2.8000000000000003,0.5695472763105253,fob,14
1854,3.0000000000000004,0.5695472763105253,fob,14
1854,3.2000000000000006,0.569278378685441,fob,14
1854,3.400000000000001,0.5675877017621074,fob,14
1854,3.600000000000001,0.5546455824658795,fob,16
1854,3.800000000000001,0.5556446629280635,fob,16
1855,0.2,0.16161563565463855,caf,2
1855,0.4,0.5429755727235823,caf,4
1855,0.6000000000000001,0.5916235295708479,caf,6
1855,0.8,0.5961568833173053,caf,8
1855,1,0.5985017667315089,caf,8
1855,1.2,0.5944171242094856,caf,10
1855,1.4,0.5900367927317025,caf,12
1855,1.5999999999999999,0.5900367927317025,caf,12
1855,1.7999999999999998,0.5793791147779299,caf,14
1855,1.9999999999999998,0.578363138095297,caf,14
1855,2.1999999999999997,0.577939672445654,caf,14
1855,2.4,0.577939672445654,caf,14
1855,2.6,0.5764447500286168,caf,14
1855,2.8000000000000003,0.5566680286296792,caf,15
1855,3.0000000000000004,0.5571515630916413,caf,16
1855,3.2000000000000006,0.5504411139522215,caf,16
1855,3.400000000000001,0.5504411139522215,caf,16
1855,3.600000000000001,0.5504411139522215,caf,16
1855,3.800000000000001,0.544388029969739,caf,17
1855,0.2,0.16161563565463855,fob,2
1855,0.4,0.5429755727235823,fob,4
1855,0.6000000000000001,0.5916235295708479,fob,6
1855,0.8,0.598145459956,fob,7
1855,1,0.5985017667315089,fob,8
1855,1.2,0.5944171242094856,fob,10
1855,1.4,0.5900367927317025,fob,12
1855,1.5999999999999999,0.5872279514260351,fob,12
1855,1.7999999999999998,0.5790777383486561,fob,14
1855,1.9999999999999998,0.5786364549220725,fob,14
1855,2.1999999999999997,0.5782410488749278,fob,14
1855,2.4,0.5761714332018413,fob,14
1855,2.6,0.5761714332018413,fob,14
1855,2.8000000000000003,0.5566680286296792,fob,15
1855,3.0000000000000004,0.5571515630916413,fob,16
1855,3.2000000000000006,0.5435394662101704,fob,17
1855,3.400000000000001,0.5497816808525594,fob,16
1855,3.600000000000001,0.5487169012292635,fob,16
1855,3.800000000000001,0.544388029969739,fob,17
1856,0.4,0.5507464148062444,caf,5
1856,0.6000000000000001,0.5629657861110342,caf,6
1856,0.8,0.5735238356514959,caf,8
1856,1,0.5737645756230688,caf,9
1856,1.2,0.5654346680168174,caf,11
1856,1.4,0.5687884765329718,caf,12
1856,1.5999999999999999,0.5584404033012218,caf,13
1856,1.7999999999999998,0.5665540114605812,caf,12
1856,1.9999999999999998,0.5486392101027987,caf,13
1856,2.1999999999999997,0.550295214341093,caf,13
1856,2.4,0.538968579773676,caf,15
1856,2.6,0.5335766471351476,caf,16
1856,2.8000000000000003,0.5204260731568926,caf,18
1856,3.0000000000000004,0.5159612948966744,caf,19
1856,3.2000000000000006,0.5170213401362171,caf,19
1856,3.400000000000001,0.5131661077961076,caf,19
1856,3.600000000000001,0.5131661077961076,caf,19
1856,3.800000000000001,0.5083011967778576,caf,20
1856,0.4,0.5507464148062444,fob,5
1856,0.6000000000000001,0.5629657861110342,fob,6
1856,0.8,0.5735860497944897,fob,8
1856,1,0.5721474683308455,fob,9
1856,1.2,0.5724922037204735,fob,11
1856,1.4,0.5665540114605812,fob,12
1856,1.5999999999999999,0.5632789649820816,fob,12
1856,1.7999999999999998,0.5535127190449552,fob,13
1856,1.9999999999999998,0.5486392101027987,fob,13
1856,2.1999999999999997,0.5447972170729654,fob,14
1856,2.4,0.5422268743546876,fob,15
1856,2.6,0.5310485901960706,fob,16
1856,2.8000000000000003,0.5269557838532052,fob,17
1856,3.0000000000000004,0.5159612948966744,fob,19
1856,3.2000000000000006,0.5173837853542747,fob,19
1856,3.400000000000001,0.5130309649164297,fob,19
1856,3.600000000000001,0.5131661077961076,fob,19
1856,3.800000000000001,0.5083011967778576,fob,20
1857,0.2,0.1705466922160509,caf,2
1857,0.4,0.5946369258806339,caf,5
1857,0.6000000000000001,0.6078644275685614,caf,6
1857,0.8,0.6156280966171328,caf,6
1857,1,0.6156280966171328,caf,6
1857,1.2,0.6119566910770018,caf,9
1857,1.4,0.6047895736689315,caf,11
1857,1.5999999999999999,0.600238850644921,caf,12
1857,1.7999999999999998,0.5969586954023121,caf,13
1857,1.9999999999999998,0.5935114250754424,caf,14
1857,2.1999999999999997,0.5710366657041951,caf,15
1857,2.4,0.5656918568510976,caf,16
1857,2.6,0.5650177385280235,caf,16
1857,2.8000000000000003,0.5577653456389287,caf,17
1857,3.0000000000000004,0.5399977664838509,caf,18
1857,3.2000000000000006,0.5366659495768955,caf,19
1857,3.400000000000001,0.5549775156436326,caf,18
1857,3.600000000000001,0.5550224722426974,caf,18
1857,3.800000000000001,0.5347225043177409,caf,19
1857,0.2,0.409723838911981,fob,2
1857,0.4,0.5748736548593908,fob,5
1857,0.6000000000000001,0.60207030127025,fob,5
1857,0.8,0.6104561713840202,fob,7
1857,1,0.6136257531996491,fob,6
1857,1.2,0.6117123711847271,fob,9
1857,1.4,0.6081148252245678,fob,11
1857,1.5999999999999999,0.599286668263965,fob,12
1857,1.7999999999999998,0.5969586954023121,fob,13
1857,1.9999999999999998,0.5951160979473593,fob,14
1857,2.1999999999999997,0.58190235831318,fob,15
1857,2.4,0.5656918568510976,fob,16
1857,2.6,0.5666224113999404,fob,16
1857,2.8000000000000003,0.557884585952412,fob,17
1857,3.0000000000000004,0.5399977664838509,fob,18
1857,3.2000000000000006,0.5366625074006435,fob,19
1857,3.400000000000001,0.5352478781048869,fob,19
1857,3.600000000000001,0.5550224722426974,fob,18
1857,3.800000000000001,0.5344498502368892,fob,19
1858,0.2,0.18041987758112482,caf,2
1858,0.4,0.567105272309961,caf,4
1858,0.6000000000000001,0.5883935801897071,caf,5
1858,0.8,0.604056905700532,caf,7
1858,1,0.6087804547580038,caf,9
1858,1.2,0.604272098345825,caf,10
1858,1.4,0.6018520753589216,caf,11
1858,1.5999999999999999,0.6018520753589216,caf,11
1858,1.7999999999999998,0.5989928215464118,caf,12
1858,1.9999999999999998,0.5956556511438154,caf,13
1858,2.1999999999999997,0.575900143069124,caf,14
1858,2.4,0.575900143069124,caf,14
1858,2.6,0.5680995290389733,caf,15
1858,2.8000000000000003,0.5638587112404834,caf,16
1858,3.0000000000000004,0.5638587112404834,caf,16
1858,3.2000000000000006,0.5627382190817769,caf,16
1858,3.400000000000001,0.5580913151604601,caf,17
1858,3.600000000000001,0.537778806066312,caf,19
1858,3.800000000000001,0.534642348008656,caf,19
1858,0.4,0.541486660445488,fob,4
1858,0.6000000000000001,0.5883935801897071,fob,5
1858,0.8,0.604056905700532,fob,7
1858,1,0.606201743958777,fob,9
1858,1.2,0.6045485615873051,fob,10
1858,1.4,0.6018520753589216,fob,11
1858,1.5999999999999999,0.6018520753589216,fob,11
1858,1.7999999999999998,0.5989928215464118,fob,12
1858,1.9999999999999998,0.5956556511438154,fob,13
1858,2.1999999999999997,0.575900143069124,fob,14
1858,2.4,0.575900143069124,fob,14
1858,2.6,0.5680995290389733,fob,15
1858,2.8000000000000003,0.5638587112404834,fob,16
1858,3.0000000000000004,0.5638587112404834,fob,16
1858,3.2000000000000006,0.5627382190817769,fob,16
1858,3.400000000000001,0.5583516551742543,fob,17
1858,3.600000000000001,0.537778806066312,fob,19
1858,3.800000000000001,0.532830776751553,fob,20
1859,0.4,0.573871465800379,caf,5
1859,0.6000000000000001,0.597534664236028,caf,6
1859,0.8,0.5974126230031431,caf,6
1859,1,0.6009160076331598,caf,8
1859,1.2,0.6022136929489806,caf,8
1859,1.4,0.598279455191915,caf,10
1859,1.5999999999999999,0.598279455191915,caf,10
1859,1.7999999999999998,0.5667681939259501,caf,13
1859,1.9999999999999998,0.5636771432283908,caf,14
1859,2.1999999999999997,0.5516981149630537,caf,15
1859,2.4,0.5414653629624262,caf,16
1859,2.6,0.5412359247915569,caf,16
