key,target,source,meme_intramax,meme_louvain,meme_AN,year,distance_km,conttype,contig_terre,contig_24mi,contig_large,mid_n,mid_hihost,mid_guerre,mid_duration,atop_allie,atop_defense,atop_offense,atop_neutral,atop_nonagg,atop_consul,atop_asymm
"100-155","Chile","Colombia (New Granada) (Gran Colombia)",0,"0","1",1883,"4125.65222626532","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-160","Argentina (La Plata)","Colombia (New Granada) (Gran Colombia)",0,"0","1",1883,"4340.33957718411","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-165","Colombia (New Granada) (Gran Colombia)","Uruguay",0,"0","1",1883,"4502.56345064772","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-2","Colombia (New Granada) (Gran Colombia)","United States of America",0,"0","0",1883,"4732.51400555514","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-20","Canada (Province of Canada)","Colombia (New Granada) (Gran Colombia)",0,"0","0",1883,"6601.18102660332","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-200","Colombia (New Granada) (Gran Colombia)","United Kingdom",0,"0","0",1883,"8455.75319595548","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-2003","Channel Is.","Colombia (New Granada) (Gran Colombia)",0,"0","0",1883,"8306.23219240848","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"100-21","Colombia (New Granada) (Gran Colombia)","Newfoundland and Labrador (Newfoundland)",0,"0","0",1883,"5588.50746880712","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-210","Colombia (New Granada) (Gran Colombia)","Netherlands",0,"0","0",1883,"8905.54107382281","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-211","Belgium","Colombia (New Granada) (Gran Colombia)",0,"0","0",1883,"8823.19166608448","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-212","Colombia (New Granada) (Gran Colombia)","Luxemburg",0,"0","0",1883,"8916.2700744299","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-220","Colombia (New Granada) (Gran Colombia)","France",1,"0","0",1883,"8576.30861096249","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-225","Colombia (New Granada) (Gran Colombia)","Switzerland",0,"0","0",1883,"9045.50289456067","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-230","Colombia (New Granada) (Gran Colombia)","Spain",1,"1","0",1883,"8016.83598897764","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-231","Colombia (New Granada) (Gran Colombia)","Gibraltar",0,"0","0",1883,"7777.35822092792","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-235","Colombia (New Granada) (Gran Colombia)","Portugal",0,"0","0",1883,"7504.38596208393","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-255","Colombia (New Granada) (Gran Colombia)","Germany (Zollverein)",0,"0","0",1883,"9200.11019698896","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-30","Bermuda","Colombia (New Granada) (Gran Colombia)",0,"0","1",1883,"3275.17730245392","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-300","Austria-Hungary (Austrian Empire)","Colombia (New Granada) (Gran Colombia)",0,"0","0",1883,"9658.35686878516","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-31","Bahamas","Colombia (New Granada) (Gran Colombia)",0,"0","1",1883,"2379.54248308453","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-325","Colombia (New Granada) (Gran Colombia)","Italy",1,"0","0",1883,"9369.40890116434","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-338","Colombia (New Granada) (Gran Colombia)","Malta",0,"0","0",1883,"9555.17777132896","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-341","Colombia (New Granada) (Gran Colombia)","Montenegro",0,"0","0",1883,"9917.67421597571","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100-342","Colombia (New Granada) (Gran Colombia)","Kingdom of Serbia",0,"0","0",1883,"9997.46414578324","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
