"id","year","importerId","importerLabel","importerType","exporterId","exporterLabel","exporterType","value","reportedBy","partial","valueToSplit","newReporters","newPartners","originalReportedTradeFlowIds","status","notes"
"500->740",1968,"740","Japan","GPH","500","Uganda","GPH",9163179.91631799,"500",NA,NA,NA,NA,NA,"ok",NA
"90->840",1968,"840","Philippines","GPH","90","Guatemala","GPH",158158.9958159,"90",NA,NA,NA,NA,NA,"ok",NA
"90->2",1968,"2","United States of America","GPH","90","Guatemala","GPH",26580753.1380753,"90",NA,NA,NA,NA,NA,"ok",NA
"90->740",1968,"740","Japan","GPH","90","Guatemala","GPH",10564016.7364017,"90",NA,NA,NA,NA,NA,"ok",NA
"90->101",1968,"101","Venezuela","GPH","90","Guatemala","GPH",251046.025104603,"90",NA,NA,NA,NA,NA,"ok",NA
"517->740",1968,"740","Japan","GPH","517","Rwanda","GPH",83682.0083682008,"517",NA,NA,NA,NA,NA,"ok",NA
"92->200",1968,"200","United Kingdom","GPH","92","El Salvador","GPH",125523.012552301,"92",NA,NA,NA,NA,NA,"ok",NA
"92->390",1968,"390","Denmark","GPH","92","El Salvador","GPH",292887.029288703,"92",NA,NA,NA,NA,NA,"ok",NA
"92->70",1968,"70","Mexico","GPH","92","El Salvador","GPH",41841.0041841004,"92",NA,NA,NA,NA,NA,"ok",NA
"135->160",1968,"160","Argentina (La Plata)","GPH","135","Peru","GPH",5271966.52719665,"135",NA,NA,NA,NA,NA,"ok",NA
"135->130",1968,"130","Ecuador","GPH","135","Peru","GPH",878661.087866109,"135",NA,NA,NA,NA,NA,"ok",NA
"840->985",1968,"985","Guam","GPH","840","Philippines","GPH",418410.041841004,"840",NA,NA,NA,NA,NA,"ok",NA
"500->710",1968,"710","People's Republic of China (China)","GPH","500","Uganda","GPH",2050209.20502092,"500",NA,NA,NA,NA,NA,"ok",NA
"500->230",1968,"230","Spain","GPH","500","Uganda","GPH",543933.054393305,"500",NA,NA,NA,NA,NA,"ok",NA
"732->645",1968,"645","Iraq (Mesopotamia)","GPH","732","South Korea (Republic of South Korea)","GPH",41841.0041841004,"732",NA,NA,NA,NA,NA,"ok",NA
"625->375",1968,"375","Finland","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",418410.041841004,"625",NA,NA,NA,NA,NA,"ok",NA
"52->255",1968,"255","Germany (Zollverein)","GPH","52","Trinidad and Tobago","GPH",251046.025104603,"52",NA,NA,NA,NA,NA,"ok",NA
"434->380",1968,"380","Sweden","GPH","434","Benin (Dahomey)","GPH",16317.9916317992,"434",NA,NA,NA,NA,NA,"ok",NA
"620->360",1968,"360","Romania","GPH","620","Libya","GPH",962343.09623431,"620",NA,NA,NA,NA,NA,"ok",NA
"840->390",1968,"390","Denmark","GPH","840","Philippines","GPH",2050209.20502092,"840",NA,NA,NA,NA,NA,"ok",NA
"840->830",1968,"830","Singapore","GPH","840","Philippines","GPH",3849372.38493724,"840",NA,NA,NA,NA,NA,"ok",NA
"840->165",1968,"165","Uruguay","GPH","840","Philippines","GPH",83682.0083682008,"840",NA,NA,NA,NA,NA,"ok",NA
"840->200",1968,"200","United Kingdom","GPH","840","Philippines","GPH",2635983.26359833,"840",NA,NA,NA,NA,NA,"ok",NA
"101->2",1968,"2","United States of America","GPH","101","Venezuela","GPH",397824267.782427,"101",NA,NA,NA,NA,NA,"ok",NA
"950->255",1968,"255","Germany (Zollverein)","GPH","950","Fiji","GPH",167364.016736402,"950",NA,NA,NA,NA,NA,"ok",NA
