id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
920<-2,1917,920,New Zealand,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,4294728,920,,,,,,ok,
920<-840,1917,920,New Zealand,GPH-AUTONOMOUS-CITED,840,Philippines,GPH-AUTONOMOUS-CITED,27915,920,,,,,,ok,
920->200,1917,200,United Kingdom,GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,25973151,920,,,,,,ok,
920->750,1917,750,India,GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,14323,920,,,,,,ok,
920->780,1917,780,Sri Lanka (Ceylon),GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,2172,920,,,,,,ok,
920->900,1917,900,Australia,GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,1243812,920,,,,,,ok,
920->950,1917,950,Fiji,GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,102250,920,,,,,,ok,
920->955,1917,955,Tonga (Haʻapai),GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,34269,920,,,,,,ok,
920->560,1917,560,South Africa,GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,1588,920,,,,,,ok,
920->651,1917,651,Egypt Arab Republic (Egypt),GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,157285,920,,,,,,ok,
920->20,1917,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,954983,920,,,,,,ok,
920->British Colonies (other),1917,British Colonies (other),British Colonies (other),RIC,920,New Zealand,GPH-AUTONOMOUS-CITED,21432,920,,21432,,21|30|31|51|52|53|80|110|231|338|352|420|452|475|570|590|591|821|1055|1063|1163|4050|5522|5523|8218,,split_failed_no_ratio,
