"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceBlockLouvain","sourceBlockIntraMax","sourceBlockAn","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetBlockLouvain","targetBlockIntraMax","targetBlockAn","targetMeanAmbiguityScore","export","import"
"231","220","220-231",0.521877208623394,"0.0015909469415203356",0,1,0,0.00159094694152034,NA,NA,"France",NA,5,3,"WE",0,NA,NA,"Gibraltar",NA,6,1,"AS",0,825106,NA
"231","230","230-231",1.26246480751962,"0.00044318753503334114",1,0,0,0.000443187535033341,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,NA,NA,"Gibraltar",NA,6,1,"AS",0,229848.453608247,NA
"231","51","231-51",0.619222909460675,"0.000018298359816833213",0,1,0,1.82983598168332e-05,NA,NA,"Jamaica",NA,5,1,"LA",0,NA,NA,"Gibraltar",NA,6,1,"AS",0,9490,NA
"235","140","140-235",3.8022229152556,"0.0009895193979832385|0.0007461874435239457",1,0,0,0.000989519397983238,NA,NA,"Brazil",NA,7,2,"LA",0.0146153846153846,NA,NA,"Portugal",NA,7,2,"WE",0.0875,386991.998732472,513190.208349838
"235","200","200-235",0.602218880369587,"0.0042916826573268264|0.00009241420743745899",0,1,0,0.00429168265732683,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Portugal",NA,7,2,"WE",0.0875,2225777,47928.3846946051
"235","220","220-235",0.0901914867817107,"0.001695533392654206|0.00009165045365698412",0,1,0,0.00169553339265421,NA,NA,"France",NA,5,3,"WE",0,NA,NA,"Portugal",NA,7,2,"WE",0.0875,879347.223322507,47532.2823417571
"235","230","230-235",1.05554394257934,"0.0005913605177955952",0.05,0.95,0.19,0.000591360517795595,NA,NA,"Spain",NA,6,6,"WE",0.102777777777778,NA,NA,"Portugal",NA,7,2,"WE",0.0875,306694.773195876,NA
"239","210","210-239",2.40088265497197,"0.01546771118644137",1,0,0,0.0154677111864414,NA,NA,"Netherlands",NA,1,3,"WE",0,NA,NA,"Prussia",NA,1,3,"WE",0,8021952.82138311,NA
"239","211","211-239",1.23011514692822,"0.00412615095112396",1,0,0,0.00412615095112396,NA,NA,"Belgium",NA,1,3,"WE",0,NA,NA,"Prussia",NA,1,3,"WE",0,2139928.00000274,NA
"240","200","200-240",1.02314654655202,"0.0010958519413297723",0,1,0,0.00109585194132977,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Hanover",NA,1,3,"WE",0,568337,NA
"240","210","210-240",1.58540331400024,"0.0003256309994919587",1,0,0,0.000325630999491959,NA,NA,"Netherlands",NA,1,3,"WE",0,NA,NA,"Hanover",NA,1,3,"WE",0,168880.610946118,NA
"246","140","140-246",2.63548185657246,"0.0009363920512505196",1,0,0,0.00093639205125052,NA,NA,"Brazil",NA,7,2,"LA",0.0146153846153846,NA,NA,"Bremen",NA,7,6,"LA",0,485637,NA
