key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
220-750,750,220,19.77606469872078,933156.3329689209|210199,0,1,0,bridge,933156.3329689209,1,India,Colony of,4,0.057619047619047625,1,1,France,Sovereign,0,0.15072727272727274
220-850,850,220,19.242360644620696,234265.18819303453|43026.70623145401,0,1,0,bridge,234265.18819303453,1,Indonesia (Dutch East Indies),Colony of,4,0.10733333333333334,1,1,France,Sovereign,0,0.15072727272727274
220-66,66,220,20.94400244131116,706699.9843823208|772759.643916914,1,0,0,0,772759.643916914,1,Martinique,Colony of,0,0,1,1,France,Sovereign,0,0.15072727272727274
220-280,280,220,18.97622010647844,23426.518819303452,0.6,0.4,0.96,0,23426.518819303452,1,Mecklenburg Schwerin,Sovereign,0,0.6233333333333333,1,1,France,Sovereign,0,0.15072727272727274
220-70,70,220,18.872470879870832,195220.9901608621,0.95,0.050000000000000044,0.19000000000000017,0,195220.9901608621,1,Mexico,Sovereign,0,0.268,1,1,France,Sovereign,0,0.15072727272727274
220-385,385,220,19.247809179684868,554427.6120568484,0,1,0,bridge,554427.6120568484,1,Norway,Sovereign (limited),0,0.08222222222222225,1,1,France,Sovereign,0,0.15072727272727274
210-220,210,220,17.713770196634407,480243.6357957208,0,1,0,bridge,480243.6357957208,1,Netherlands,Sovereign,2,0.013571428571428571,1,1,France,Sovereign,0,0.15072727272727274
135-220,135,220,18.366072821618285,81992.81586756208,0.95,0.050000000000000044,0.19000000000000017,0,81992.81586756208,1,Peru,Sovereign,0,0.335,1,1,France,Sovereign,0,0.15072727272727274
220-840,840,220,17.889783068591058,27330.938622520694,0.05,0.95,0.19,bridge,27330.938622520694,1,Philippines,Colony of,4,0.3466666666666667,1,1,France,Sovereign,0,0.15072727272727274
220-235,235,220,18.13432864130565,89801.65547399656,0,1,0,bridge,89801.65547399656,1,Portugal,Sovereign,0,0.1,1,1,France,Sovereign,0,0.15072727272727274
220-5,5,220,16.822302379277286,7808.839606434484,0,1,0,bridge,7808.839606434484,1,Virgin Islands (Danish West Indies),Colony of,3,0.56,1,1,France,Sovereign,0,0.15072727272727274
220-751,751,220,20.94400244131116,85897.23567077932|16955.95814461971,0.2,0.8,0.6400000000000001,bridge,85897.23567077932,1,French India,Colony of,4,0.41500000000000015,1,1,France,Sovereign,0,0.15072727272727274
160-220,160,220,19.150440519816748,355302.20209276903,0.95,0.050000000000000044,0.19000000000000017,0,355302.20209276903,1,Argentina (La Plata),Sovereign,0,0.268,1,1,France,Sovereign,0,0.15072727272727274
220-365,365,220,19.04282847952727,1401686.70935499|1227843.1527404832,0,1,0,bridge,1401686.70935499,1,Russia (USSR),Sovereign,2,0.14678571428571435,1,1,France,Sovereign,0,0.15072727272727274
1029-220,1029,220,20.94400244131116,359206.62189598626|59712.82992347338,1,0,0,0,359206.62189598626,1,St. Pierre and Miquelon,Colony of,0,0,1,1,France,Sovereign,0,0.15072727272727274
220-433,433,220,20.94400244131116,156176.79212868967|119272.13806028425,1,0,0,0,156176.79212868967,1,Senegal,Colony of,0,0,1,1,France,Sovereign,0,0.15072727272727274
220-380,380,220,19.25289833955288,257691.70701233798|35443.219246644476,0,1,0,bridge,257691.70701233798,1,Sweden,Sovereign,0,0.06470588235294118,1,1,France,Sovereign,0,0.15072727272727274
220-225,225,220,19.973888287266178,1034671.2478525692,0.9,0.09999999999999998,0.35999999999999993,0,1034671.2478525692,1,Switzerland,Sovereign,0,0.6,1,1,France,Sovereign,0,0.15072727272727274
220-337,337,220,19.73444112514095,499765.734811807,0,1,0,bridge,499765.734811807,1,Tuscany,Sovereign,2,0,1,1,France,Sovereign,0,0.15072727272727274
220-640,640,220,19.30779464727177,1280649.6954552552|162706.63633603076,0,1,0,bridge,1280649.6954552552,1,Turkey (Ottoman Empire),Sovereign,2,0.030555555555555558,1,1,France,Sovereign,0,0.15072727272727274
