key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
110-66,66,110,0.9781700744089259,0.0000040082001585711754,1,0,0,0.0000040082001585711754,,,Martinique,,4,3,WE,0,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295
110-68,68,110,1.591612981881234,0.000002491699585395769,0,1,0,0.000002491699585395769,,,Netherlands Antilles,,5,1,AS,0,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295
110-750,110,750,0.6443173795397347,0.000119350647976677|1.776261090579162e-7,0,1,0,0.000119350647976677,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295,,,India,,1,1,AS,0
115-2,2,115,0.49144512722836076,0.00006690867076860932,0.05,0.95,0.19,0.00006690867076860932,,,United States of America,,4,2,WE,0.00475,,,Surinam (Dutch Guiana),,5,1,AS,0.1266666666666667
115-255,115,255,0.38218335077958593,0.00004762212373083704,0,1,0,0.00004762212373083704,,,Surinam (Dutch Guiana),,5,1,AS,0.1266666666666667,,,Germany (Zollverein),,3,5,WE,0
115-827,115,827,3.819701134245629,0.00018504552343864486,0.95,0.050000000000000044,0.19000000000000017,0.00018504552343864486,,,Surinam (Dutch Guiana),,5,1,AS,0.1266666666666667,,,Straits Settlements,,5,1,AS,0.01583333333333335
115-904,115,904,1.258907383940576,0.000020349467335325557,0,1,0,0.000020349467335325557,,,Surinam (Dutch Guiana),,5,1,AS,0.1266666666666667,,,Victoria,,6,1,AS,0
1163-200,200,1163,1.6679948234950455,0.00006892315950754429|0.000021314428221437808,1,0,0,0.00006892315950754429,,,United Kingdom,,1,9,AF,0.014328358208955224,,,Falkland Is.,,1,1,AS,0
1163-255,255,1163,0.2746040691566185,0.000008283579498605679,0,1,0,0.000008283579498605679,,,Germany (Zollverein),,3,5,WE,0,,,Falkland Is.,,1,1,AS,0
120-2,2,120,0.37588068867061125,0.0000026600575281550102,1,0,0,0.0000026600575281550102,,,United States of America,,4,2,WE,0.00475,,,French Guiana,,4,1,AS,0
120-220,120,220,1.6831619750836555,0.000013987647089510002,0,1,0,0.000013987647089510002,,,French Guiana,,4,1,AS,0,,,France,,2,9,AF,0.21256410256410257
120-255,120,255,0.39172647435587504,0.0000021456106189376863,0,1,0,0.0000021456106189376863,,,French Guiana,,4,1,AS,0,,,Germany (Zollverein),,3,5,WE,0
130-155,130,155,2.19316259916063,0.000030306210535561093,1,0,0,0.000030306210535561093,,,Ecuador,,2,1,AS,0,,,Chile,,2,1,AS,0.01583333333333335
130-2,2,130,0.7447286663227883,0.00012705694262084446,0,1,0,0.00012705694262084446,,,United States of America,,4,2,WE,0.00475,,,Ecuador,,2,1,AS,0
130-230,130,230,2.537741793771618,0.00017709365239754128,1,0,0,0.00017709365239754128,,,Ecuador,,2,1,AS,0,,,Spain,,2,3,WE,0.1580769230769231
130-255,130,255,1.054601028046465,0.00013751573708989747,0,1,0,0.00013751573708989747,,,Ecuador,,2,1,AS,0,,,Germany (Zollverein),,3,5,WE,0
135-155,135,155,4.03618163985702,0.00036309959586128347|0.00029269739959871026,1,0,0,0.00036309959586128347,,,Peru,,2,1,AS,0.02375000000000002,,,Chile,,2,1,AS,0.01583333333333335
135-2,2,135,0.10644186860812875,0.00007466927732263499|0.00043673724877638104,0,1,0,0.00043673724877638104,,,United States of America,,4,2,WE,0.00475,,,Peru,,2,1,AS,0.02375000000000002
135-200,135,200,1.027840335522199,0.0018924609897165974|0.0008171296682926408,0,1,0,0.0018924609897165974,,,Peru,,2,1,AS,0.02375000000000002,,,United Kingdom,,1,9,AF,0.014328358208955224
135-211,135,211,0.5894992913053626,0.00004808953069373539|0.0003324086546528777,1,0,0,0.0003324086546528777,,,Peru,,2,1,AS,0.02375000000000002,,,Belgium,,2,5,WE,0.013571428571428583
